date,open,high,low,close,5. volume,symbol,source
1999-11-01,21.75,24.38,21.75,23.5,1630300.0,NVDA,DAILY
1999-11-02,23.94,25.13,23.75,25.0,1744800.0,NVDA,DAILY
1999-11-03,26.0,28.13,25.81,27.44,4191000.0,NVDA,DAILY
1999-11-04,27.75,29.94,27.75,29.19,2625700.0,NVDA,DAILY
1999-11-05,30.0,30.25,26.88,28.25,1284100.0,NVDA,DAILY
1999-11-08,27.38,29.88,26.5,29.06,979200.0,NVDA,DAILY
1999-11-09,29.0,29.13,27.5,28.63,567400.0,NVDA,DAILY
1999-11-10,28.72,28.75,27.81,28.38,300100.0,NVDA,DAILY
1999-11-11,28.38,31.88,27.75,30.38,1172300.0,NVDA,DAILY
1999-11-12,31.69,32.0,29.88,32.0,1044800.0,NVDA,DAILY
1999-11-15,32.22,33.19,30.88,31.38,754600.0,NVDA,DAILY
1999-11-16,32.13,35.0,32.0,34.38,1507900.0,NVDA,DAILY
1999-11-17,35.0,37.5,34.5,35.69,1638300.0,NVDA,DAILY
1999-11-18,36.44,36.75,35.5,35.81,491600.0,NVDA,DAILY
1999-11-19,40.13,44.38,40.0,42.88,4510800.0,NVDA,DAILY
1999-11-22,43.97,44.0,40.25,42.81,1125400.0,NVDA,DAILY
1999-11-23,38.25,40.19,38.0,39.75,1152600.0,NVDA,DAILY
1999-11-24,39.56,40.0,35.56,38.5,847600.0,NVDA,DAILY
1999-11-26,38.13,38.5,37.0,38.25,149500.0,NVDA,DAILY
1999-11-29,38.13,38.63,36.0,36.88,622100.0,NVDA,DAILY
1999-11-30,37.0,37.63,34.63,34.63,655600.0,NVDA,DAILY
1999-12-01,34.63,36.88,34.63,36.38,465700.0,NVDA,DAILY
1999-12-02,36.5,39.56,36.5,39.06,645600.0,NVDA,DAILY
1999-12-03,39.44,40.13,37.63,38.13,714100.0,NVDA,DAILY
1999-12-06,38.25,39.38,38.25,39.19,372100.0,NVDA,DAILY
1999-12-07,39.5,39.56,36.38,37.88,388300.0,NVDA,DAILY
1999-12-08,37.75,39.94,37.63,39.56,420200.0,NVDA,DAILY
1999-12-09,39.5,40.5,37.0,38.38,447800.0,NVDA,DAILY
1999-12-10,39.06,39.25,37.25,37.94,204800.0,NVDA,DAILY
1999-12-13,37.5,38.81,37.0,37.81,383000.0,NVDA,DAILY
1999-12-14,37.88,38.81,36.81,37.19,570600.0,NVDA,DAILY
1999-12-15,36.94,37.13,35.13,36.0,429100.0,NVDA,DAILY
1999-12-16,36.19,36.75,35.63,35.75,276200.0,NVDA,DAILY
1999-12-17,36.75,38.19,36.56,37.63,546000.0,NVDA,DAILY
1999-12-20,37.69,41.13,36.38,40.75,838400.0,NVDA,DAILY
1999-12-21,40.75,42.56,39.25,42.5,809100.0,NVDA,DAILY
1999-12-22,42.63,44.0,41.0,43.5,523300.0,NVDA,DAILY
1999-12-23,43.56,46.5,43.38,46.38,583800.0,NVDA,DAILY
1999-12-27,47.38,47.44,44.13,44.63,421700.0,NVDA,DAILY
1999-12-28,44.63,46.25,44.38,44.5,373300.0,NVDA,DAILY
1999-12-29,44.41,46.5,44.38,46.0,275300.0,NVDA,DAILY
1999-12-30,46.0,46.69,45.25,46.38,291200.0,NVDA,DAILY
1999-12-31,46.28,47.0,46.13,46.94,265300.0,NVDA,DAILY
2000-01-03,47.25,47.63,45.25,46.81,626900.0,NVDA,DAILY
2000-01-04,46.0,46.13,43.25,45.56,626000.0,NVDA,DAILY
2000-01-05,44.25,45.0,43.75,44.19,392400.0,NVDA,DAILY
2000-01-06,44.06,44.06,39.5,41.19,251000.0,NVDA,DAILY
2000-01-07,41.0,42.31,40.38,41.88,148300.0,NVDA,DAILY
2000-01-10,42.0,45.0,41.25,43.25,499700.0,NVDA,DAILY
2000-01-11,43.0,43.5,41.5,41.5,308600.0,NVDA,DAILY
2000-01-12,41.5,41.56,39.88,40.44,257400.0,NVDA,DAILY
2000-01-13,40.38,42.5,39.88,42.13,275400.0,NVDA,DAILY
2000-01-14,42.75,45.69,42.63,43.94,1259500.0,NVDA,DAILY
2000-01-18,44.5,46.0,42.5,45.81,545100.0,NVDA,DAILY
2000-01-19,46.0,46.0,45.0,45.38,343100.0,NVDA,DAILY
2000-01-20,45.75,48.25,44.88,45.25,374100.0,NVDA,DAILY
2000-01-21,45.13,45.31,43.63,44.75,1133900.0,NVDA,DAILY
2000-01-24,46.19,46.19,42.5,42.75,535300.0,NVDA,DAILY
2000-01-25,42.94,43.38,41.0,42.38,494000.0,NVDA,DAILY
2000-01-26,42.38,43.5,39.88,40.63,484300.0,NVDA,DAILY
2000-01-27,40.94,40.94,37.0,38.5,954600.0,NVDA,DAILY
2000-01-28,38.0,38.25,35.88,37.38,405100.0,NVDA,DAILY
2000-01-31,37.56,38.38,35.0,37.06,380000.0,NVDA,DAILY
2000-02-01,37.13,38.25,35.75,37.94,193700.0,NVDA,DAILY
2000-02-02,38.13,39.75,37.94,39.0,310500.0,NVDA,DAILY
2000-02-03,40.25,41.06,39.38,39.63,225500.0,NVDA,DAILY
2000-02-04,40.88,40.88,39.75,40.56,257700.0,NVDA,DAILY
2000-02-07,40.75,40.75,38.0,38.06,453100.0,NVDA,DAILY
2000-02-08,39.0,41.25,38.0,39.88,976700.0,NVDA,DAILY
2000-02-09,41.38,42.06,40.81,40.88,1227200.0,NVDA,DAILY
2000-02-10,43.38,50.0,43.38,49.25,2021000.0,NVDA,DAILY
2000-02-11,51.69,51.75,46.38,50.0,882900.0,NVDA,DAILY
2000-02-14,50.12,58.0,49.63,58.0,1354400.0,NVDA,DAILY
2000-02-15,58.13,58.19,53.38,55.75,938500.0,NVDA,DAILY
2000-02-16,56.38,60.25,55.75,58.31,2124100.0,NVDA,DAILY
2000-02-17,58.0,60.75,57.5,60.38,1116200.0,NVDA,DAILY
2000-02-18,59.5,68.25,59.06,67.38,2001800.0,NVDA,DAILY
2000-02-22,65.25,66.13,63.0,65.5,1130200.0,NVDA,DAILY
2000-02-23,64.75,66.56,63.94,65.88,1065400.0,NVDA,DAILY
2000-02-24,66.25,66.69,62.5,65.25,509000.0,NVDA,DAILY
2000-02-25,65.31,65.31,58.5,61.19,580700.0,NVDA,DAILY
2000-02-28,60.88,61.5,59.75,60.75,1078900.0,NVDA,DAILY
2000-02-29,60.38,64.75,60.38,64.0,637600.0,NVDA,DAILY
2000-03-01,64.0,64.0,61.13,62.13,799100.0,NVDA,DAILY
2000-03-02,62.63,62.63,57.75,57.94,398000.0,NVDA,DAILY
2000-03-03,58.0,59.5,57.5,58.88,570200.0,NVDA,DAILY
2000-03-06,59.25,63.75,58.0,58.5,900200.0,NVDA,DAILY
2000-03-07,74.75,87.25,71.75,83.31,4067100.0,NVDA,DAILY
2000-03-08,83.27,84.75,77.25,84.0,1393200.0,NVDA,DAILY
2000-03-09,85.0,108.0,84.75,100.3,1985300.0,NVDA,DAILY
2000-03-10,105.5,145.0,104.9,118.0,4502500.0,NVDA,DAILY
2000-03-13,107.0,150.0,107.0,149.3,5031600.0,NVDA,DAILY
2000-03-14,148.4,148.4,108.0,110.1,3266200.0,NVDA,DAILY
2000-03-15,118.0,121.1,102.0,105.6,2074200.0,NVDA,DAILY
2000-03-16,109.0,112.8,92.63,94.17,1563300.0,NVDA,DAILY
2000-03-17,92.0,107.0,91.98,99.88,1161700.0,NVDA,DAILY
2000-03-20,103.4,107.1,96.63,99.81,761000.0,NVDA,DAILY
2000-03-21,100.0,100.9,87.0,94.88,1118000.0,NVDA,DAILY
2000-03-22,95.63,98.5,94.0,95.56,480400.0,NVDA,DAILY
2000-03-23,94.69,102.5,94.5,97.25,644600.0,NVDA,DAILY
2000-03-24,96.62,101.0,90.0,93.19,482500.0,NVDA,DAILY
2000-03-27,93.0,96.0,86.25,87.06,810300.0,NVDA,DAILY
2000-03-28,84.06,85.0,79.0,80.56,819400.0,NVDA,DAILY
2000-03-29,80.88,82.75,72.0,75.25,978000.0,NVDA,DAILY
2000-03-30,73.0,81.75,70.5,74.81,754000.0,NVDA,DAILY
2000-03-31,79.92,87.88,78.5,84.48,2006200.0,NVDA,DAILY
2000-04-03,83.72,84.0,75.69,77.88,687400.0,NVDA,DAILY
2000-04-04,81.5,83.38,57.0,75.0,1070400.0,NVDA,DAILY
2000-04-05,75.75,97.5,71.88,91.69,1332500.0,NVDA,DAILY
